graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:Ek?IacRPN,6 / 10,"5,4,4,3,2,2",1 / 2,4,1.44504,1,32 / 80,5 - 5 - 5,1,120
:Ek?IRcaPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.45701,1,32 / 80,5 - 5 - 5,1,120
:Ek?IbcQPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.70928,1,32 / 80,5 - 5 - 5,1,120
:Ek@I@gbPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:Ek@IAcbPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.44098,1.33333,32 / 80,5 - 5 - 5,1,120
:Ek@Ia_RPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.09715,1.33333,32 / 80,5 - 5 - 5,1,120
:Ek@IBcaPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:Ek@Ib_QPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.65647,1.33333,32 / 80,5 - 5 - 5,1,120
:EkAIAcRPN,6 / 10,"5,4,4,3,2,2",1 / 2,4,1.73205,1,32 / 80,5 - 5 - 5,1,120
:EkAIQ_RPN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:EkAIb_PPN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.45701,1,32 / 80,5 - 5 - 5,1,120
:Ek?cacbLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.6495,1,32 / 80,5 - 5 - 5,1,120
:Ek?gbcQLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.98104,1,32 / 80,5 - 5 - 5,1,120
:Ek@_acbLN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:Ek@gb_QLN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.50952,1.33333,32 / 80,5 - 5 - 5,1,120
:EkA_RcaLN,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.61803,1.33333,32 / 80,5 - 5 - 5,1,120
:EkAcR_aLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,2.22644,1,32 / 80,5 - 5 - 5,1,120
:EkA_bcQLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,2.64149,1.33333,48 / 144,6 - 6 - 6,3,160
ED^w,6 / 10,"5,4,4,3,2,2",2 / 2,3,2.97458,1.66667,48 / 144,6 - 6 - 6,3,160
:EkAgb_PLN,6 / 10,"5,4,4,3,2,2",1 / 2,3,2.16619,1,32 / 80,5 - 5 - 5,1,120
:EkA_rcQHN,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.45701,0.666667,32 / 80,5 - 5 - 5,1,120
:EkAcr_QHN,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:EkGGbcQK~,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.45701,1,32 / 80,5 - 5 - 5,1,120
