ID	Staat	Bundesland	Regierungsbezirk	Landkreis	Verwaltungszusammenschluss	Ort	Ortsteil	Gemeindeteil	Ort2	Längengrad	Breitengrad	Autokennzeichen
18038	DE	NI	-	Landkreis Nienburg (Weser)	Samtgemeinde Heemsen	Heemsen	-	-	-	9.26667	52.7	NI
18039	DE	NI	-	Landkreis Wolfenbüttel	Samtgemeinde Baddeckenstedt	Heere	-	-	-	10.25	52.0667	WF
18040	DE	ST	-	Landkreis Stendal	Verwaltungsgemeinschaft Stendal-Uchtetal	Heeren	-	-	-	11.9	52.55	SDL
18041	DE	NI	-	Landkreis Cuxhaven	Samtgemeinde Beverstedt	Heerstedt	-	-	-	8.75	53.4667	CUX
18042	DE	NI	-	Landkreis Rotenburg (Wümme)	Samtgemeinde Zeven	Heeslingen	-	-	-	9.33333	53.3167	ROW
18043	DE	NI	-	Landkreis Schaumburg	Samtgemeinde Eilsen	Heeßen	-	-	-	9.10694	52.2346	SHG
18044	DE	RP	-	Landkreis Kusel	Verbandsgemeinde Wolfstein	Hefersweiler	-	-	-	7.68333	49.6	KUS
18045	DE	NI	-	Landkreis Holzminden	Samtgemeinde Bodenwerder	Hehlen	-	-	-	9.48333	51.9833	HOL
18046	DE	TH	-	Landkreis Weimarer Land	Verwaltungsgemeinschaft Buttelstedt	Heichelheim	-	-	-	11.3167	51.05	AP
18047	DE	SH	-	Landkreis Dithmarschen	-	Heide	-	-	-	9.1	54.2	HEI
18048	DE	BB	-	Landkreis Dahme-Spreewald	Amt Heideblick	Heideblick	-	-	-	13.6551	51.8127	LDS
18049	DE	BY	Mittelfranken	Landkreis Roth	-	Heideck	-	-	-	11.1167	49.1167	RH
18050	DE	BB	-	Landkreis Elbe-Elster	Amt Schönewalde	Heideeck	-	-	-	13.2	51.8333	EE
18051	DE	SH	-	Landkreis Stormarn	Amt Nordstormarn	Heidekamp	-	-	-	10.5	53.85	OD
18052	DE	TH	-	Saale-Holzland-Kreis	Verwaltungsgemeinschaft Heideland-Elstertal	Heideland	-	-	-	11.9143	51	SHK
18053	DE	BW	Karlsruhe	Kreisfreie Stadt Heidelberg	-	Heidelberg	-	-	-	8.7	49.4167	HD
18054	DE	ST	-	Landkreis Bitterfeld	-	Sandersdorf	Heideloh	-	-	12.2	51.6333	BTF
18055	DE	NW	Münster	Landkreis Borken	-	Heiden	-	-	-	6.93333	51.8333	BOR
18056	DE	SN	Dresden	Landkreis Sächsische Schweiz	-	Heidenau	-	-	-	13.8667	50.9833	PIR
18057	DE	NI	-	Landkreis Harburg	Samtgemeinde Tostedt	Heidenau	-	-	-	9.66667	53.3167	WL
18058	DE	RP	-	Landkreis Bernkastel-Wittlich	Verbandsgemeinde Thalfang am Erbeskopf	Heidenburg	-	-	-	6.91667	49.8	WIL
18059	DE	BY	Mittelfranken	Landkreis Weißenburg-Gunzenhausen	Verwaltungsgemeinschaft Hahnenkamm	Heidenheim	-	-	-	10.75	49.0167	WUG
18060	DE	BW	Stuttgart	Landkreis Heidenheim	Verwaltungsgemeinschaft Heidenheim an der Brenz	Heidenheim an der Brenz	-	-	-	10.15	48.6833	HDH
18061	DE	HE	Darmstadt	Rheingau-Taunus-Kreis	-	Heidenrod	-	-	-	7.95351	50.1649	RÜD
18062	DE	SN	Chemnitz	Mittlerer Erzgebirgskreis	Verwaltungsgemeinschaft Seiffen-Deutschneudorf-Heidersdorf	Heidersdorf	-	-	-	13.4	50.6833	MEK
18063	DE	RP	-	Landkreis Mainz-Bingen	Verbandsgemeinde Heidesheim	Heidesheim am Rhein	-	-	-	8.12611	50	MZ
18064	DE	SH	-	Landkreis Pinneberg	Amt Moorrege	Heidgraben	-	-	-	9.68333	53.7167	PI
18065	DE	MV	-	Landkreis Ludwigslust	Amt Dömitz	Heidhof	-	-	-	11.25	53.1833	LWL
18066	DE	SH	-	Landkreis Segeberg	Amt Bad Bramstedt-Land	Heidmoor	-	-	-	9.85	53.8333	SE
18067	DE	SH	-	Landkreis Segeberg	Amt Rickling	Heidmühlen	-	-	-	10.0833	53.9667	SE
18068	DE	RP	-	Landkreis Bernkastel-Wittlich	Verbandsgemeinde Wittlich-Land	Heidweiler	-	-	-	6.75	49.9167	WIL
18069	DE	BY	Unterfranken	Landkreis Aschaffenburg	Verwaltungsgemeinschaft Heigenbrücken	Heigenbrücken	-	-	-	9.38333	50.0333	AB
18070	DE	SH	-	Landkreis Plön	-	Heikendorf	-	-	-	10.2	54.3667	PLÖ
18071	DE	RP	-	Landkreis Bitburg-Prüm	Verbandsgemeinde Neuerburg	Heilbach	-	-	-	6.28333	50.05	BIT
18072	DE	TH	-	Landkreis Eichsfeld	-	Heilbad Heiligenstadt	-	-	-	10.1333	51.3833	EIC
18073	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Montabaur	Heilberscheid	-	-	-	7.88333	50.4167	WW
18074	DE	BW	Stuttgart	Kreisfreie Stadt Heilbronn	-	Heilbronn	-	-	-	9.22	49.1403	HN
18075	DE	RP	-	Landkreis Bitburg-Prüm	Verbandsgemeinde Bitburg-Land	Heilenbach	-	-	-	6.46667	50.0667	BIT
18076	DE	BW	Tübingen	Bodenseekreis	-	Heiligenberg	-	-	-	9.31667	47.8167	FN
18077	DE	ST	-	Landkreis Stendal	Verwaltungsgemeinschaft Seehausen (Altmark)	Heiligenfelde	-	-	-	11.5	52.8333	SDL
18078	DE	BB	-	Landkreis Ostprignitz-Ruppin	-	Heiligengrabe	-	-	-	12.35	53.15	OPR
18079	DE	SH	-	Landkreis Ostholstein	-	Heiligenhafen	-	-	-	10.9833	54.3667	OH
18080	DE	MV	-	Landkreis Bad Doberan	Amt Satow	Heiligenhagen	-	-	-	11.9333	54.0167	DBR
18081	DE	NW	Düsseldorf	Landkreis Mettmann	-	Heiligenhaus	-	-	-	6.96667	51.3167	ME
18082	DE	RP	-	Landkreis Kaiserslautern	Verbandsgemeinde Otterberg	Heiligenmoschel	-	-	-	7.76667	49.55	KL
18083	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Montabaur	Heiligenroth	-	-	-	7.86667	50.45	WW
18084	DE	BY	Oberfranken	Landkreis Bamberg	-	Heiligenstadt	-	-	-	11.1667	49.8667	BA
18085	DE	SH	-	Landkreis Steinburg	Amt Itzehoe-Land	Heiligenstedten	-	-	-	9.46667	53.9333	IZ
18086	DE	SH	-	Landkreis Steinburg	Amt Itzehoe-Land	Heiligenstedtenerkamp	-	-	-	9.46667	53.9	IZ
18087	DE	NI	-	Landkreis Lüneburg	Samtgemeinde Gellersen	Heiligenthal	-	-	-	10.3333	53.2167	LG
18088	DE	ST	-	Landkreis Mansfelder Land	Verwaltungsgemeinschaft Gerbstedt	Heiligenthal	-	-	-	11.6333	51.6167	ML
18089	DE	BW	Karlsruhe	Rhein-Neckar-Kreis	Verwaltungsgemeinschaft Schönau	Heiligkreuzsteinach	-	-	-	8.795	49.4833	HD
18090	DE	TH	-	Landkreis Saalfeld-Rudolstadt	Erfüllende Gemeinde Uhlstädt-Kirchhasel	Heilingen	-	-	-	11.4667	50.7667	SLF
18091	DE	BY	Mittelfranken	Landkreis Ansbach	-	Heilsbronn	-	-	-	10.8	49.3333	AN
18092	DE	SH	-	Landkreis Stormarn	Amt Nordstormarn	Heilshoop	-	-	-	10.5333	53.8833	OD
18093	DE	NW	Köln	Landkreis Düren	-	Heimbach	-	-	-	6.48333	50.6333	DN
18094	DE	RP	-	Landkreis Birkenfeld	Verbandsgemeinde Baumholder	Heimbach	-	-	-	7.25	49.6167	BIR
18095	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Hachenburg	Heimborn	-	-	-	7.75	50.7	WW
18096	DE	BY	Unterfranken	Landkreis Aschaffenburg	Verwaltungsgemeinschaft Mespelbrunn	Heimbuchenthal	-	-	-	9.29556	49.8892	AB
18097	DE	ST	-	Landkreis Wernigerode	Verwaltungsgemeinschaft Blankenburg	Heimburg	-	-	-	10.9167	51.8167	WR
18098	DE	BY	Schwaben	Landkreis Lindau (Bodensee)	-	Heimenkirch	-	-	-	9.91667	47.6167	LI
18099	DE	BY	Schwaben	Landkreis Unterallgäu	Verwaltungsgemeinschaft Boos	Heimertingen	-	-	-	10.15	48.0333	MN
18100	DE	BW	Karlsruhe	Enzkreis	Verwaltungsgemeinschaft Heckengäu	Heimsheim	-	-	-	8.85	48.8	PF
18101	DE	RP	-	Landkreis Bad Kreuznach	Verbandsgemeinde Kirn-Land	Heimweiler	-	-	-	7.48333	49.75	KH
18102	DE	NI	-	Landkreis Holzminden	Samtgemeinde Stadtoldendorf	Heinade	-	-	-	9.63333	51.8333	HOL
18103	DE	NI	-	Landkreis Stade	Samtgemeinde Oldendorf	Heinbockel	-	-	-	9.33333	53.5833	STD
18104	DE	BB	-	Landkreis Spree-Neiße	Amt Peitz	Heinersbrück	-	-	-	14.5	51.8333	SPN
18105	DE	BY	Oberfranken	Landkreis Bayreuth	-	Heinersreuth	-	-	-	11.5333	49.9667	BT
18106	DE	BW	Stuttgart	Landkreis Göppingen	-	Heiningen	-	-	-	9.65	48.6667	GP
