	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"averageall"	"sum"
"average"	11,261	18,176	19,759	18,051	33,844	20,928	36,354	26,544	31,904		
"min"	3,804	3,461	6,296	4,336	11,878	2,434	23,293	3,036	28,183		
"max"	21,024	40,597	37,651	31,028	45,176	34,379	49,416	51,821	35,626		
											
"p4-3200-ubuntu-hardy"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	7,211	3,468	6,007	3,304	11,707	2,438		7,439		5,939	
"anubis"								33,365		33,365	
"blowfish"	7,018	40,554	39,000	41,518	45,198	30,706	49,538	52,340		38,234	
"cast5"	19,975	26,501	26,804	33,930	33,165	28,389		42,411		30,168	
"cast6"		16,658	12,546	25,979						18,394	
"gost"		20,691	18,609	24,763						21,354	
"khazad"								9,451		9,451	
"loki97"		11,230								11,230	
"noekeon"								36,249		36,249	
"rijndael"	14,125	12,767	24,725	25,393	44,901	23,687	23,285	42,193	37,219	27,588	
"saferplus"		5,213						3,570		4,392	
"serpent"	6,490	9,747	11,685	17,847		6,296			26,935	13,391	
"skipjack"								10,474		10,474	
"twofish"	18,333	31,194	21,811	28,927		23,448		48,910		28,771	
"xtea"		21,907	22,523	17,847				26,845		22,280	
"average"	12,192	18,175	20,412	24,390	33,743	19,161	36,411	28,477	32,077		
"min"	6,490	3,468	6,007	3,304	11,707	2,438	23,285	3,570	26,935		
"max"	19,975	40,554	39,000	41,518	45,198	30,706	49,538	52,340	37,219		
											
"p4-3200-fedora8"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"	
"3des"	2,246	3,337	7,311	7,241	11,974	3,868		3,792		5,681	
"anubis"								17,209		17,209	
"blowfish"	6,406	41,066	33,262	34,668	45,253	43,517	45,177	47,499		37,106	
"cast5"	20,412	35,220	35,071	30,393	28,801	40,331		26,615		30,978	
"cast6"		14,774	12,541	21,596						16,304	
"gost"		15,387	20,854	20,532						18,924	
"khazad"								12,805		12,805	
"loki97"		8,854								8,854	
"noekeon"								31,769		31,769	
"rijndael"	14,363	10,217	26,188	19,392	42,874	34,541	20,742	24,742	33,573	25,181	
"saferplus"		4,413						3,051		3,732	
"serpent"	6,465	5,465	30,300	7,968		7,541			24,503	13,183	
"skipjack"								4,823		4,823	
"twofish"	16,946	32,131	24,744	17,507		20,931		34,808		24,511	
"xtea"		16,894	23,521	13,948				26,409		20,193	
"average"	11,140	17,069	23,755	19,249	32,225	25,121	32,960	21,229	29,038		
"min"	2,246	3,337	7,311	7,241	11,974	3,868	20,742	3,051	24,503		
"max"	20,412	41,066	35,071	34,668	45,253	43,517	45,177	47,499	33,573		
